"State/Territory",Postcode2,"Individuals 2003–04 no.","Median3 taxable income 2003–04 $","Average3 taxable income 2003–04 $","Individuals 2013–14 no.","Median3 taxable income 2013–14 $","Average3 taxable income 2013–14 $","Individuals 2014–15 no.","Median3 taxable income 2014–15 $","Average3 taxable income 2014–15 $","Individuals 2015–16 no.","Median3 taxable income 2015–16 $","Average3 taxable income 2015–16 $","Individuals 2016–17no.","Median3 taxable income 2016–17$","Average3 taxable income 2016–17$"
NSW,2752,"2,724","31,844","35,995","2,905","45,952","55,184","2,968","47,179","54,352","3,007","49,736","57,006","3,096","50,845","58,085",
NSW,2753,"9,495","30,175","34,107","9,430","42,447","52,539","9,528","44,248","54,435","9,883","45,066","54,963","9,947","46,043","56,367",
NSW,2754,"3,205","31,608","35,584","3,142","42,370","51,505","3,177","42,538","51,439","3,308","44,421","53,696","3,379","45,418","55,639",
NSW,2756,"19,113","30,859","35,304","19,216","44,635","52,733","19,734","45,745","54,996","20,196","47,070","57,339","20,658","48,326","58,226",
NSW,2757,592,"28,774","35,535",583,"40,391","50,634",590,"39,092","49,972",564,"43,134","57,998",585,"43,269","51,614",
NSW,2758,"5,202","30,689","37,283","5,300","43,487","55,937","5,354","46,079","57,273","5,466","48,235","58,769","5,502","48,758","60,601",
NSW,2759,"16,851","32,297","34,594","15,911","46,674","51,455","15,943","47,527","52,582","16,119","48,990","54,259","16,232","49,591","55,050",
NSW,2760,"12,834","30,255","31,730","14,967","43,259","46,840","15,918","44,569","47,822","17,016","45,619","49,389","17,586","47,013","50,268",
NSW,2761,"13,771","32,585","33,136","15,501","45,704","49,253","16,244","46,277","50,164","17,265","47,517","51,562","18,294","48,372","52,776",
NSW,2762,"2,325","31,378","34,421","2,163","45,610","52,231","2,412","48,029","55,770","2,993","51,799","57,905","4,401","53,430","59,466",
NSW,2763,"16,054","34,103","36,104","17,256","48,427","53,549","17,714","48,768","54,253","18,004","49,986","56,164","18,265","50,810","56,936",
NSW,2765,"8,332","29,346","35,000","8,019","42,809","53,220","8,247","44,398","54,652","8,825","46,824","59,455","9,897","48,361","59,890",
NSW,2766,"6,701","31,918","33,066","7,694","44,216","48,301","7,964","44,517","48,943","8,328","46,314","50,585","8,747","47,135","51,372",
NSW,2767,"9,645","31,470","32,957","11,093","45,139","49,641","11,763","45,770","50,192","12,350","46,951","51,620","12,937","47,249","51,814",
NSW,2768,"10,672","36,327","39,277","15,229","51,037","58,986","15,377","51,291","59,747","15,783","52,253","61,593","16,171","52,546","62,160",
NSW,2769,na,na,na,na,na,na,"5,921","59,211","66,308","6,574","59,602","69,577","7,105","60,293","68,712",
NSW,2770,"25,767","28,160","29,425","25,006","40,121","43,351","25,651","40,922","44,219","26,194","42,020","45,640","27,183","42,283","46,062",
NSW,2773,"3,966","34,648","41,721","3,775","48,420","64,083","3,742","49,316","65,076","3,757","51,503","68,422","3,853","51,828","69,854",
NSW,2774,"8,251","33,611","38,880","7,715","47,120","57,390","7,714","47,699","58,905","7,807","49,222","59,983","7,837","49,621","60,752",
NSW,2775,744,"27,974","30,020",724,"36,840","47,559",760,"38,323","51,633",798,"39,591","54,498",843,"41,035","55,480",
NSW,2776,"2,552","33,584","39,124","2,443","46,404","55,570","2,423","47,229","56,147","2,482","48,647","58,728","2,535","49,969","60,249",
NSW,2777,"11,151","32,725","39,042","10,325","44,961","55,191","10,518","45,990","56,627","10,537","47,053","57,666","10,729","47,819","59,210",
NSW,2778,"1,494","33,796","37,655","1,422","43,917","53,752","1,425","45,799","55,351","1,480","46,512","57,472","1,510","44,963","57,347",
NSW,2779,"2,660","30,852","33,916","2,637","42,814","50,238","2,769","43,382","51,507","2,780","44,402","52,382","2,855","45,115","53,537",
NSW,2780,"7,206","24,847","31,232","6,960","35,682","49,579","7,157","36,251","47,036","7,328","36,605","48,505","7,513","37,104","48,973",
NSW,2782,"3,512","27,483","35,312","3,264","39,154","50,970","3,326","39,988","52,985","3,402","40,761","56,560","3,471","41,507","56,138",
NSW,2783,"1,476","27,950","32,028","1,472","40,430","48,391","1,496","40,461","48,051","1,527","42,264","49,702","1,592","42,357","50,943",
NSW,2784,646,"31,343","35,282",691,"43,070","51,664",698,"42,016","51,372",719,"42,791","52,477",742,"42,107","52,575",
NSW,2785,"2,613","25,669","31,132","2,563","36,477","47,445","2,591","36,525","47,593","2,639","37,829","49,940","2,645","38,198","52,128",
NSW,2786,658,"22,430","29,746",617,"36,516","49,309",646,"36,967","49,875",650,"36,277","46,873",660,"39,510","48,475",
NSW,2787,"2,521","28,116","31,715","2,333","39,711","45,008","2,349","41,951","47,897","2,382","43,386","49,686","2,394","42,256","48,246",
NSW,2790,"7,663","27,434","34,008","7,363","40,538","54,034","7,240","41,815","53,843","7,299","41,773","53,368","7,357","42,751","54,202",
NSW,2792,na,na,na,na,na,na,203,"38,639","54,040",na,na,na,na,na,na,
NSW,2793,496,"21,129","25,856",466,"30,608","44,712",439,"33,876","50,091",454,"35,066","49,199",486,"34,964","50,992",
NSW,2794,"5,950","24,142","27,227","5,424","34,557","41,154","5,397","35,985","42,461","5,475","36,738","43,087","5,524","37,541","43,556",
NSW,2795,"20,768","29,156","33,690","21,717","41,914","51,036","21,916","43,048","52,396","22,232","43,918","53,635","22,728","44,626","53,915",
NSW,2797,269,"19,641","25,914",219,"31,370","38,717",213,"36,202","41,250",234,"34,715","38,844",237,"36,276","43,682",
NSW,2798,"1,041","29,978","34,033","1,201","40,916","55,038","1,213","43,927","60,440","1,203","44,011","61,258","1,262","45,738","62,522",
NSW,2799,"2,024","26,234","29,971","2,080","39,713","47,016","2,090","40,265","47,633","2,123","41,301","48,756","2,176","42,322","49,969",
NSW,2800,"22,706","29,420","34,161","23,667","43,047","53,928","24,060","43,634","55,016","24,534","44,454","56,388","24,972","44,959","57,449",
NSW,2804,"1,493","21,652","22,903","1,343","33,414","37,897","1,339","36,212","43,041","1,333","37,000","44,926","1,387","36,171","44,800",
NSW,2805,243,"18,636","19,442",211,"36,276","39,282",217,"36,434","39,205",210,"38,013","49,298",224,"38,478","55,793",
NSW,2806,485,"20,530","24,119",465,"35,856","42,932",461,"37,627","45,718",464,"38,528","48,283",470,"40,264","46,025",
NSW,2810,"1,763","20,127","21,613","1,628","35,118","43,056","1,634","35,071","42,885","1,636","37,598","47,597","1,660","36,997","43,445",
NSW,2818,na,na,na,na,na,na,357,"38,339","43,190",359,"44,499","49,713",407,"45,086","48,372",
NSW,2820,"3,389","21,412","25,520","3,061","35,189","42,111","3,058","36,522","43,829","3,067","37,277","44,413","3,087","38,399","45,276",
NSW,2821,"2,824","23,979","26,619","2,521","36,468","43,100","2,534","37,657","44,359","2,521","39,166","45,737","2,530","40,232","46,442",
NSW,2823,862,"25,848","28,566",751,"35,544","43,331",781,"37,609","45,097",777,"37,821","45,189",762,"41,868","50,715",
NSW,2824,"1,536","24,351","26,949","1,303","39,639","46,378","1,224","40,911","50,675","1,221","43,222","53,177","1,231","42,215","50,077",
NSW,2825,"1,369","23,018","26,263","1,334","40,075","50,133","1,356","44,860","55,670","1,341","44,812","54,221","1,355","43,152","59,587",
NSW,2827,"1,953","22,267","26,032","1,824","34,619","39,295","1,876","35,892","42,831","1,853","37,257","44,187","1,848","39,385","44,361",
NSW,2828,470,"20,908","26,990",368,"29,549","40,359",369,"31,052","39,760",372,"32,586","45,202",362,"37,011","44,336",
NSW,2829,"1,847","22,269","24,362","1,515","34,233","36,949","1,453","38,279","42,864","1,455","40,427","44,607","1,466","43,168","52,979",
NSW,2830,"21,387","28,664","31,972","22,268","41,831","49,140","22,357","42,720","50,402","22,813","43,663","51,469","23,333","44,697","52,600",
NSW,2831,"2,325","21,091","22,510","1,701","31,802","36,411","1,593","35,877","41,851","1,490","37,066","42,234","1,402","38,736","45,988",
NSW,2832,"1,528","20,726","18,139","1,198","35,665","33,487","1,218","33,998","31,898","1,228","34,966","28,470","1,222","37,926","46,448",
NSW,2833,370,"19,911","20,081",260,"38,007","34,766",244,"32,853","35,613",238,"35,809","34,845",249,"38,166","45,960",
NSW,2834,"1,115","17,271","21,728",862,"31,946","36,182",863,"29,383","34,765",842,"32,297","36,621",890,"32,786","39,333",
NSW,2835,"2,477","29,844","35,948","2,265","50,644","66,324","2,258","53,841","68,156","2,209","52,853","65,033","2,259","53,785","67,871",
NSW,2836,382,"20,696","25,235",313,"37,334","44,939",297,"41,290","49,299",303,"41,417","51,549",313,"41,811","53,840",
NSW,2839,640,"23,929","26,709",473,"38,511","39,119",462,"38,263","41,887",459,"41,257","46,058",467,"42,478","48,796",
NSW,2840,"1,734","24,017","25,125","1,433","39,787","42,677","1,348","42,653","47,819","1,313","44,983","48,712","1,308","46,070","53,334",
NSW,2842,368,"18,077","20,699",282,"22,867","28,317",281,"28,361","36,071",291,"29,553","32,354",270,"31,102","36,283",
NSW,2843,685,"21,686","25,197",679,"30,084","35,469",690,"34,080","40,558",692,"30,836","39,466",711,"31,605","39,076",
NSW,2844,748,"22,708","25,611",661,"30,689","37,487",693,"34,510","43,349",628,"37,046","47,557",647,"37,646","47,958",
NSW,2845,976,"29,247","36,242",982,"43,656","55,580",999,"42,800","54,312","1,019","42,584","53,335","1,018","44,178","54,601",
NSW,2847,"1,082","27,751","34,341","1,022","40,557","55,494","1,055","41,602","53,103","1,070","41,094","51,164","1,095","39,830","50,981",
NSW,2848,654,"22,693","30,832",538,"34,975","46,268",533,"33,114","44,321",528,"31,772","42,787",544,"31,134","41,279",
NSW,2849,930,"21,478","23,697",791,"31,691","45,924",776,"31,100","39,923",782,"32,257","42,912",773,"34,085","46,025",
NSW,2850,"8,182","23,250","27,960","9,159","38,567","53,699","9,208","39,113","52,964","9,362","40,119","54,475","9,647","41,021","54,571",
NSW,2852,"1,688","21,618","26,864","1,734","35,158","58,948","1,663","35,835","49,724","1,652","36,682","49,284","1,735","36,941","48,993",
NSW,2864,484,"26,458","25,618",504,"37,964","43,944",487,"38,167","45,788",465,"39,447","48,183",476,"40,070","47,314",
NSW,2865,523,"26,048","29,826",460,"38,571","42,916",466,"39,985","45,703",475,"40,364","47,054",463,"40,887","48,299",
NSW,2866,"1,556","25,752","29,481","1,594","37,039","44,012","1,597","38,731","47,222","1,629","38,399","48,016","1,630","40,059","48,511",
NSW,2867,368,"22,807","26,005",338,"31,186","36,558",325,"34,172","41,372",322,"37,273","43,356",328,"36,356","44,889",
NSW,2868,385,"22,039","28,641",327,"32,017","43,659",313,"34,038","44,594",321,"34,075","45,551",329,"35,890","41,463",
NSW,2869,795,"17,609","20,111",676,"30,174","37,010",678,"33,235","40,131",698,"33,992","40,069",694,"34,602","38,201",
NSW,2870,"6,440","25,365","29,897","6,229","39,063","47,930","6,258","39,634","48,402","6,243","41,050","49,872","6,310","41,293","49,653",
NSW,2871,"4,840","22,286","25,491","4,683","37,228","44,450","4,717","38,690","46,386","4,782","39,417","50,888","4,816","40,150","47,564",
NSW,2873,449,"20,932","23,891",376,"31,078","38,869",376,"39,803","47,693",375,"38,586","45,736",362,"36,989","43,823",
NSW,2874,310,"21,368","23,911",245,"33,668","34,048",244,"34,460","40,428",248,"34,246","41,738",254,"39,533","42,272",
NSW,2875,556,"21,237","22,986",465,"30,308","39,084",486,"33,557","40,300",484,"32,270","39,408",466,"35,721","44,037",
NSW,2876,278,"16,023","18,853",229,"25,628","30,513",246,"32,296","37,682",251,"27,924","36,834",238,"30,604","37,158",
NSW,2877,"2,331","20,577","21,750","2,074","35,989","42,639","2,003","37,677","44,109","1,978","38,321","44,121","1,982","38,715","46,325",
NSW,2879,338,"21,976","25,629",265,"45,579","53,897",246,"41,576","53,192",215,"42,702","53,281",214,"41,962","51,488",
NSW,2880,"9,555","24,539","29,583","8,848","41,580","50,431","8,926","42,273","51,951","8,794","43,628","53,226","8,704","44,723","54,346",
NSW,2898,261,"26,836","32,781",265,"35,726","49,370",293,"35,821","46,397",297,"41,602","49,157",297,"40,846","67,795",
NSW,2899,na,na,na,na,na,na,na,na,na,224,"12,299","27,869","1,141","34,528","38,572",
NT ,800,"1,884","34,909","40,929","5,272","43,291","61,449","5,579","43,998","61,992","5,464","50,893","71,262","5,469","54,381","75,120",
NT ,801,"1,596","36,413","42,059","1,454","55,077","71,347","1,100","59,595","77,193",851,"69,522","90,147",688,"67,777","87,663",
NT ,804,345,"36,910","46,382",329,"63,457","78,459",299,"62,842","75,926",na,na,na,na,na,na,
NT ,810,"16,298","33,288","37,139","20,337","53,134","62,452","20,792","53,833","63,799","21,128","54,307","64,719","21,199","54,207","64,240",
NT ,811,973,"37,718","41,559",678,"60,446","71,979",555,"62,386","74,350",418,"64,327","78,022",383,"62,541","76,647",
NT ,812,"11,132","34,081","36,079","11,690","54,619","61,832","11,640","55,214","63,160","11,509","55,473","63,273","11,330","55,061","62,800",
NT ,814,339,"34,531","36,687",318,"56,221","67,055",283,"50,639","67,080",225,"62,046","73,740",na,na,na,
NT ,820,"10,048","37,745","43,555","13,138","58,176","73,025","13,388","59,878","74,982","13,252","62,522","79,588","12,940","61,759","78,787",
NT ,821,"1,341","33,696","36,236",893,"57,134","66,211",794,"59,819","71,735",616,"64,557","75,086",546,"61,504","74,639",
NT ,822,"3,574","15,829","22,438","4,753","32,642","44,691","5,134","33,440","45,155","5,636","34,348","45,881","5,981","34,654","46,457",
NT ,828,572,"30,389","39,787",625,"60,987","81,971",698,"57,018","71,883",733,"55,642","71,860",746,"52,407","67,936",
NT ,829,na,na,na,na,na,na,na,na,na,248,"59,035","60,547",325,"57,849","60,150",
NT ,830,"10,024","35,069","35,456","11,316","57,540","63,396","11,196","58,260","65,035","11,179","59,420","67,017","11,171","58,322","66,015",
NT ,831,"1,387","35,195","37,326","1,658","59,838","68,191","1,427","61,379","72,351","1,118","65,128","73,611",945,"65,056","75,247",
NT ,832,"2,757","37,302","37,361","7,408","61,337","67,668","7,976","62,987","71,322","8,969","64,310","72,801","9,845","62,737","71,198",
NT ,834,na,na,na,na,na,na,372,"60,604","70,848",410,"55,813","67,523",492,"56,399","70,819",
NT ,835,"3,011","34,500","37,091","3,370","58,789","70,602","3,325","59,084","72,316","3,312","60,461","70,955","3,176","59,222","69,723",
NT ,836,"3,592","31,577","33,565","4,488","57,100","66,038","4,678","56,532","66,280","4,791","57,846","67,650","4,870","57,033","68,089",
NT ,837,937,"28,399","30,930",706,"51,361","59,019",660,"50,644","60,850",620,"48,215","58,252",569,"47,616","56,855",
NT ,838,na,na,na,na,na,na,439,"51,750","60,326",471,"56,740","66,047",486,"55,358","65,104",
NT ,839,na,na,na,na,na,na,784,"60,664","69,903",770,"61,778","69,382",835,"58,304","65,818",
NT ,841,na,na,na,na,na,na,320,"59,113","65,047",319,"57,322","66,077",311,"56,410","66,301",
NT ,845,355,"28,808","31,087",361,"43,666","49,767",388,"45,278","52,605",389,"44,303","53,087",371,"45,040","52,412",
NT ,846,na,na,na,na,na,na,204,"44,662","52,055",217,"41,888","56,425",na,na,na,
NT ,850,"3,082","32,087","33,816","3,453","50,231","55,941","3,715","49,571","54,196","3,814","50,527","56,110","3,933","51,521","57,995",
NT ,851,"1,700","30,629","32,992","1,424","49,730","56,437","1,250","49,496","56,088","1,155","53,533","61,920","1,061","53,582","59,505",
NT ,852,"1,421","15,945","20,766","1,617","30,700","38,428","1,692","31,578","39,028","1,763","32,455","40,343","1,844","31,730","37,988",
NT ,853,452,"45,116","41,470",384,"66,243","64,734",396,"61,327","61,276",453,"66,875","64,369",538,"66,867","64,480",
NT ,854,274,"21,964","27,677",427,"37,884","51,123",422,"35,266","42,690",433,"34,982","43,617",438,"33,934","40,906",
NT ,860,"1,036","28,368","25,287",819,"52,177","58,561",827,"53,932","58,079",940,"52,144","56,788",984,"50,131","57,251",
NT ,861,546,"22,846","28,775",682,"40,661","46,314",664,"41,980","47,825",601,"43,941","52,911",612,"48,314","54,097",
NT ,862,286,"16,888","21,626",211,"37,007","42,135",209,"36,786","43,192",243,"36,955","43,049",233,"37,279","43,043",
NT ,870,"12,453","31,881","35,225","13,457","49,232","56,679","13,409","50,609","57,704","13,836","52,076","59,724","14,153","52,937","60,704",
NT ,871,"3,314","32,484","35,621","2,441","49,740","57,028","2,390","51,229","58,366","1,898","54,883","61,767","1,605","55,341","62,960",
NT ,872,"4,830","13,836","20,244","3,424","31,303","38,797","3,520","31,883","39,965","3,677","32,944","41,760","3,933","34,050","42,747",
NT ,875,na,na,na,na,na,na,na,na,na,na,na,na,375,"48,567","54,278",
NT ,880,"1,163","41,383","46,540",681,"50,431","66,204",633,"42,004","56,522",786,"42,236","59,254",793,"46,138","58,317",
NT ,881,"1,801","30,857","39,681","1,875","55,519","68,368","1,738","52,755","65,647","1,778","54,804","64,821","1,754","55,692","64,864",
NT ,885,539,"45,045","52,234",616,"72,005","86,222",600,"68,315","86,713",587,"69,704","86,215",527,"75,417","83,343",
NT ,886,892,"33,510","39,501",869,"53,899","62,867",808,"53,781","63,557",798,"53,760","63,625",815,"56,003","62,868",
QLD,4000,"5,973","30,319","45,541","12,131","35,759","61,731","11,990","36,507","62,920","12,657","33,550","58,869","12,738","34,572","62,182",
QLD,4001,na,na,na,na,na,na,na,na,na,na,na,na,576,"37,969","88,949",
QLD,4005,"9,789","34,106","46,943","11,592","57,821","89,085","12,006","58,366","91,944","12,214","59,646","93,745","12,426","60,497","92,487",
QLD,4006,"6,096","32,219","40,489","9,055","49,748","76,666","9,711","49,241","76,099","10,822","48,760","69,682","12,969","49,002","66,839",
QLD,4007,"6,670","36,729","60,425","8,068","55,408","99,788","8,415","56,197","103,320","8,763","55,138","101,505","9,278","56,046","107,478",
QLD,4008,232,"31,440","35,512",236,"50,032","68,591",251,"51,643","63,853",239,"49,615","60,142",225,"52,062","58,364",
QLD,4010,"1,642","31,520","37,485","1,799","49,604","63,551","1,822","50,205","63,996","1,974","49,963","64,015","2,373","52,580","63,845",
QLD,4011,"9,261","33,923","47,124","10,037","52,545","85,401","10,147","53,181","85,981","10,136","54,044","86,493","10,311","54,507","86,326",
QLD,4012,"10,865","31,556","34,541","12,999","50,848","65,018","13,664","51,690","65,139","14,208","52,705","65,070","14,619","53,998","64,527",
QLD,4013,"2,660","31,214","34,235","2,953","49,477","60,828","3,014","49,846","61,210","3,081","51,076","62,271","3,151","50,805","62,436",
QLD,4014,"5,660","30,170","32,399","7,073","46,944","55,801","7,240","48,232","56,549","7,446","50,639","58,736","7,699","51,102","59,384",
QLD,4017,"19,691","29,119","32,208","20,932","45,618","54,556","21,132","46,656","55,202","21,539","47,249","55,949","21,858","47,863","56,380",
QLD,4018,"4,090","29,423","31,017","6,005","45,567","50,728","6,539","45,984","51,049","7,069","46,515","51,743","7,498","46,865","51,732",
QLD,4019,"9,998","25,331","29,019","10,494","41,498","49,901","10,615","42,899","51,317","10,872","43,813","51,364","11,073","44,119","51,960",
QLD,4020,"10,949","26,257","32,614","12,233","41,335","54,135","12,296","41,826","54,888","12,541","42,427","55,473","12,710","43,104","56,487",
QLD,4021,"4,785","25,951","28,952","4,863","39,703","45,305","4,842","39,970","45,653","4,761","40,810","46,605","4,800","41,216","47,072",
QLD,4022,"2,253","23,937","27,427","3,272","39,410","44,478","3,295","40,599","46,028","3,338","41,413","46,830","3,344","41,159","46,421",
QLD,4030,"8,904","32,890","39,321","9,646","50,037","66,924","9,865","50,024","68,772","10,472","51,411","69,411","11,300","52,404","70,012",
QLD,4031,"7,089","32,430","36,024","7,770","52,377","64,410","8,043","52,981","65,723","8,303","54,527","66,791","8,580","53,976","67,082",
QLD,4032,"7,729","28,743","32,161","9,044","43,075","52,904","9,156","44,038","52,733","9,536","45,131","54,737","10,126","45,337","53,791",
QLD,4034,"24,557","28,796","32,752","26,150","44,448","53,284","26,573","44,968","54,296","26,882","45,995","54,771","27,356","46,469","55,214",
QLD,4035,"14,886","31,838","39,693","15,261","48,160","63,740","15,385","49,251","64,640","15,592","49,637","65,784","16,059","51,059","66,781",
QLD,4036,"3,758","29,833","31,656","3,885","44,310","49,464","3,855","45,542","50,498","3,847","46,609","51,777","3,956","46,770","53,891",
QLD,4037,"4,136","34,716","38,534","4,851","50,481","62,929","4,920","52,135","62,710","4,972","52,945","64,542","5,055","53,134","64,250",
QLD,4051,"15,397","32,833","39,028","17,128","52,966","71,990","17,432","54,057","73,416","17,506","54,964","75,281","18,088","55,630","77,276",
QLD,4053,"25,288","30,293","34,513","26,327","48,190","57,739","26,561","49,475","59,100","27,074","50,273","60,073","27,693","51,155","60,446",
QLD,4054,"8,708","30,027","32,792","8,692","43,897","51,627","8,409","45,205","53,170","8,315","46,601","54,158","8,301","48,471","55,272",
QLD,4055,"12,267","31,279","35,523","12,203","49,081","59,659","12,496","49,988","60,924","12,694","50,910","61,377","12,856","51,961","62,277",
QLD,4059,"6,222","31,208","39,143","7,100","47,722","66,846","7,377","48,441","66,856","7,416","47,739","67,531","7,724","47,889","66,937",
QLD,4060,"7,763","33,179","42,810","8,170","53,462","78,882","8,241","54,390","81,783","8,317","55,697","82,748","8,465","57,925","84,196",
QLD,4061,"10,978","32,108","40,448","10,335","47,977","66,855","10,308","49,701","68,539","10,419","50,449","68,987","10,531","51,360","70,193",
QLD,4064,"6,864","32,432","43,574","7,400","53,677","85,588","7,562","53,220","91,718","7,657","54,822","85,167","8,089","54,908","89,060",
QLD,4065,"5,641","34,883","46,830","5,740","57,042","92,074","5,903","55,971","89,431","6,034","58,209","95,325","6,233","61,073","96,834",
QLD,4066,"10,335","29,413","39,716","11,052","48,012","69,006","11,053","47,492","69,858","10,930","49,493","71,621","11,230","49,950","71,961",
QLD,4067,"5,470","23,975","42,475","5,004","40,250","79,152","5,001","39,485","77,990","5,035","37,612","75,729","5,192","36,639","74,492",
QLD,4068,"13,984","30,692","46,234","14,507","47,175","79,551","14,713","46,546","78,039","14,872","46,847","78,610","15,148","46,746","77,158",
QLD,4069,"21,849","34,004","50,892","21,686","50,188","84,460","21,659","51,069","84,996","21,777","51,675","82,754","22,133","52,316","83,319",
QLD,4070,"4,922","31,943","40,990","6,767","48,812","63,604","6,931","48,838","63,864","7,038","50,806","65,274","7,146","51,214","65,107",
QLD,4073,"4,660","33,598","39,121","5,517","52,048","69,459","5,516","52,131","69,627","5,571","53,141","70,325","5,660","52,431","68,873",
QLD,4074,"16,137","31,483","38,497","15,384","45,951","57,903","15,409","46,709","59,074","15,412","47,407","59,199","15,427","48,359","60,679",
QLD,4075,"12,586","31,052","39,479","13,755","49,240","69,065","13,882","50,960","76,805","14,285","51,362","70,533","14,904","51,902","69,842",
QLD,4076,"2,445","26,304","28,004","2,477","40,092","44,416","2,635","39,898","44,986","2,695","40,539","46,063","2,675","41,721","47,274",
QLD,4077,"10,692","24,628","26,950","12,267","38,006","42,127","12,869","38,505","42,486","13,578","38,723","42,751","14,469","38,367","42,509",
QLD,4078,"10,820","31,635","33,615","13,900","45,987","52,259","13,966","46,574","52,585","14,254","47,213","53,173","14,564","46,841","52,536",
QLD,4101,"9,395","27,295","38,386","13,349","44,880","67,661","14,078","45,414","67,003","14,929","45,874","67,822","16,928","47,694","69,456",
QLD,4102,"3,313","26,386","32,554","4,200","40,484","53,448","4,246","41,504","53,164","4,666","42,330","54,418","5,457","42,534","53,700",
QLD,4103,"7,154","29,371","35,283","8,639","44,616","58,815","8,723","44,441","57,164","9,093","46,140","57,476","9,239","45,831","57,604",
QLD,4104,"3,449","32,342","42,879","3,920","50,199","72,345","4,012","51,223","74,481","4,139","51,769","74,450","4,293","50,880","73,945",
QLD,4105,"6,957","30,821","35,269","7,955","47,357","61,671","8,166","48,111","61,100","8,303","48,832","64,150","8,641","49,393","62,308",
QLD,4106,977,"29,905","33,478",901,"42,145","50,922",936,"42,420","48,840",987,"42,518","48,584","1,022","44,642","49,465",
QLD,4107,"3,304","28,505","31,485","3,745","43,443","49,468","3,822","44,611","50,357","3,865","45,618","52,091","3,932","46,323","53,383",
QLD,4108,"2,931","27,365","29,058","3,100","38,695","43,839","3,215","38,645","46,209","3,430","37,175","45,342","3,636","36,576","43,825",
QLD,4109,"21,086","24,759","31,571","22,418","33,180","44,943","22,735","33,113","44,935","23,059","32,912","45,349","23,150","33,001","45,579",
QLD,4110,"4,199","27,316","28,835","5,163","41,428","47,058","5,367","42,336","47,315","5,686","42,249","47,333","6,247","42,713","48,186",
QLD,4111,787,"22,376","27,489",655,"41,565","48,687",644,"38,065","45,457",636,"39,378","46,336",650,"38,012","46,035",
QLD,4112,"3,676","29,888","34,167","4,222","40,231","51,047","4,336","40,513","52,009","4,492","40,811","52,939","4,576","40,793","53,226",
QLD,4113,"14,827","26,475","30,642","18,039","37,426","47,111","18,247","36,952","46,370","18,663","36,127","45,979","18,848","35,509","45,644",
QLD,4114,"14,373","24,175","24,944","11,659","37,061","39,517","11,603","37,708","39,564","11,938","37,442","39,620","12,069","37,639","39,701",
QLD,4115,"9,630","31,320","33,869","11,196","44,862","51,613","11,340","44,777","52,101","11,572","44,547","51,932","11,802","44,560","51,603",
QLD,4116,"9,479","28,578","33,253","14,619","40,663","48,944","14,814","40,246","48,849","15,081","40,805","48,642","15,562","40,004","48,427",
QLD,4117,na,na,na,na,na,na,769,"44,631","48,485",765,"46,007","49,639",854,"46,165","50,368",
QLD,4118,"15,627","29,100","30,756","16,807","43,524","48,600","17,128","43,669","48,297","17,362","44,607","49,066","17,571","44,682","49,417",
QLD,4119,"2,716","29,686","32,209","3,652","43,179","51,401","3,780","42,321","51,722","3,725","43,360","52,303","3,763","43,109","52,625",
QLD,4120,"5,102","30,694","35,393","5,879","48,513","59,318","6,006","48,610","58,772","6,060","48,489","60,035","6,368","50,024","61,109",
QLD,4121,"14,089","31,724","37,078","14,878","51,054","65,736","15,072","52,483","67,536","15,469","52,932","69,938","15,704","53,653","69,166",
QLD,4122,"24,630","28,339","32,835","26,036","42,688","52,345","26,855","42,828","52,811","25,786","44,905","54,422","26,614","45,123","54,594",
QLD,4123,"10,735","29,545","32,800","10,306","44,913","52,586","10,616","45,846","54,119","11,171","46,756","55,086","11,625","47,037","55,438",
QLD,4124,"8,095","28,492","30,382","10,008","44,968","51,461","10,274","45,301","51,744","10,559","45,538","52,113","10,875","46,389","53,041",
QLD,4125,"4,245","28,173","30,454","3,915","40,598","48,773","3,898","40,456","49,268","4,048","41,637","49,620","4,331","43,033","49,459",
QLD,4127,"14,078","28,326","31,692","14,742","42,228","50,089","14,741","43,093","50,327","14,790","44,272","51,237","14,905","44,713","51,627",
QLD,4128,"10,116","29,677","33,094","9,899","45,150","52,901","9,927","46,283","54,140","10,107","47,190","54,887","10,252","48,064","55,059",
QLD,4129,"5,048","28,410","31,714","3,925","43,905","49,845","3,930","44,104","49,606","3,844","45,963","50,459","3,850","47,023","51,570",
QLD,4130,"3,716","29,623","36,438","5,138","43,701","55,005","5,265","44,872","55,700","5,405","46,659","58,110","5,567","47,995","60,080",
QLD,4131,"3,936","26,044","27,350","4,782","39,448","43,276","4,913","40,655","44,245","5,164","41,400","44,673","5,147","41,749","44,607",
QLD,4132,"9,177","26,100","26,719","11,540","40,520","43,342","11,824","41,111","43,850","12,240","41,980","44,294","12,369","42,150","44,356",
QLD,4133,"5,446","27,408","29,195","8,006","41,031","46,211","8,564","41,860","46,879","9,121","43,029","47,682","9,369","43,361","48,066",
QLD,4151,"9,809","32,289","39,650","10,821","50,687","67,203","11,079","51,233","68,402","11,305","52,534","70,012","11,741","53,353","71,149",
QLD,4152,"25,332","31,183","37,721","27,609","49,572","65,921","28,124","50,166","67,187","28,772","51,531","68,098","29,119","52,108","68,675",
QLD,4153,"2,651","30,889","38,196","2,761","50,102","65,033","2,750","50,305","66,695","2,823","50,520","65,443","2,795","50,488","69,028",
QLD,4154,"2,647","34,388","40,599","6,266","55,764","72,060","6,338","56,604","73,797","6,428","57,296","77,575","6,516","59,977","77,451",
