suburb,medianSoldPrice,lowestSoldPrice,highestSoldPrice,medianRentListingPrice
Crows Nest,1900000,450000,4500000,878
Croydon,1565000,630000,2790000,670
Croydon Park,1205000,725000,2169000,600
Cumberland Reach,,,,
Curl Curl,2295000,1670000,4200000,1048
Currans Hill,640000,365000,980000,440
Daceyville,,1234000,1620000,
Dangar Island,,510000,1425000,
Darling Point,4875000,2910000,17500000,1550
Darlinghurst,1620000,800000,4675000,950
Darlington,1285000,1050000,2250000,850
Davidson,1500000,1195000,1945000,1025
Dawes Point,,125000,8500000,
Dean Park,630000,485000,815000,400
Dee Why,1435000,840000,4550000,850
Denham Court,735000,400000,3050000,530
Denistone,1390000,790000,2450000,670
Denistone East,1310000,820000,2160000,650
Denistone West,,970000,1750000,590
Dharruk,535000,415000,580000,370
Dolans Bay,1430000,1200000,2515000,850
Dolls Point,,750000,1985000,
Doonside,593000,395000,876000,400
Double Bay,3950000,2560000,8000000,1650
Dover Heights,3930000,2135000,9600000,1350
Drummoyne,1633000,1080000,7727000,820
Duffys Forest,,,,
Dulwich Hill,1475000,745000,2825000,725
Dundas,975000,633000,2200000,528
Dundas Valley,1050000,580000,1670000,540
Dural,1261000,575000,4100000,655
Eagle Vale,580000,425000,750000,400
Earlwood,1263000,655000,3205000,680
East Hills,838000,550000,3270000,530
East Killara,2252000,1200000,7500000,1000
East Kurrajong,,1130000,1130000,605
East Lindfield,2230000,880000,5880000,1150
East Ryde,1455000,1120000,2230000,770
Eastern Creek,620000,465000,780000,415
Eastgardens,1395000,1220000,1665000,800
Eastlakes,1390000,925000,1740000,700
Eastwood,1400000,762000,2960000,645
Ebenezer,,2040000,2040000,450
Edensor Park,800000,520000,1560000,485
Edgecliff,2570000,1475000,9000000,990
Edmondson Park,820000,450000,8445000,565
Elanora Heights,1525000,1100000,2530000,965
Elderslie,703000,387000,1344000,500
Elizabeth Bay,,1075000,1075000,
ELIZABETH HILLS,876000,678000,1600000,570
Ellis Lane,,990000,1400000,
Elvina Bay,,1500000,6800000,
Emerton,450000,351000,545000,350
Emu Heights,670000,590000,815000,480
Emu Plains,667000,380000,2100000,460
Enfield,1425000,960000,3100000,590
Engadine,875000,660000,1425000,640
Englorie Park,,451000,535000,420
Enmore,1363000,856000,3180000,843
Epping,1450000,753000,3100000,650
Ermington,1100000,715000,1670000,545
Erskine Park,715000,525000,1150000,440
Erskineville,1295000,720000,2460000,800
Eschol Park,553000,385000,2850000,420
Eveleigh,,,,
Fairfield,665000,405000,4000000,430
Fairfield East,700000,570000,1135000,430
Fairfield Heights,702000,497000,1392000,480
Fairfield West,696000,500000,1300000,450
Fairlight,2105000,1200000,5100000,1200
Fiddletown,,,,
Five Dock,1573000,900000,5750000,700
Forest Glen,,,,
Forest Lodge,1620000,690000,4085000,863
Forestville,1420000,915000,12800000,850
Freemans Reach,,1190000,1190000,495
Frenchs Forest,1380000,900000,2300000,875
Freshwater,2280000,810000,4925000,1350
Galston,1153000,945000,1575000,590
Georges Hall,825000,525000,1585000,550
Gilead,,,,
Girraween,760000,490000,1700000,470
Gladesville,1624000,600000,4750000,700
Glebe,1620000,853000,3500000,890
GLEDSWOOD HILLS,775000,380000,1135000,520
Glen Alpine,840000,600000,1155000,550
Glendenning,648000,495000,940000,430
Glenfield,625000,386000,1250000,450
Glenhaven,1460000,968000,3150000,725
Glenmore Park,715000,413000,8800000,500
Glenorie,,910000,2200000,530
Glenwood,960000,685000,1410000,583
Glossodia,600000,450000,1300000,440
Gordon,2300000,1000000,5000000,950
Granville,725000,400000,1620000,470
Grasmere,1520000,1055000,1950000,
Grays Point,1170000,815000,3590000,825
Great MacKerel Beach,,980000,1070000,
Green Valley,740000,370000,1200000,470
Greenacre,820000,450000,1895000,523
Greendale,,,,
Greenfield Park,755000,450000,985000,488
Greenhills Beach,2270000,1880000,3100000,1325
Greenwich,2850000,1370000,5150000,940
Gregory Hills,665000,375000,1000000,510
Greystanes,777000,470000,1815000,500
Grose Vale,,940000,1175000,
Grose Wold,,,,495
Guildford,725000,400000,2900000,470
Guildford West,740000,485000,980000,460
Gymea,930000,650000,1500000,640
Gymea Bay,1169000,780000,2420000,700
Haberfield,1930000,975000,3950000,820
Hammondville,700000,480000,980000,500
Harrington Park,912000,500000,1650000,550
Harris Park,,585000,1750000,450
Hassall Grove,608000,520000,730000,410
Haymarket,,,,
Heathcote,832000,660000,1600000,590
Hebersham,515000,380000,703000,360
Heckenberg,580000,465000,795000,400
Henley,,2450000,3475000,
Hillsdale,,730000,1520000,850
Hinchinbrook,680000,540000,1020000,480
Hobartville,600000,460000,740000,420
Holroyd,,,,500
Holsworthy,755000,651000,1175000,500
Homebush,1350000,700000,2520000,620
Homebush West,,905000,975000,600
Horningsea Park,748000,580000,1055000,530
Hornsby,1090000,580000,2900000,580
Hornsby Heights,1100000,753000,1750000,635
Horsley Park,,1810000,2238000,450
Hoxton Park,691000,520000,1004000,495
Hunters Hill,2685000,1200000,8000000,1100
Huntingwood,,,,
Huntleys Cove,,1620000,2136000,
Huntleys Point,,2165000,2165000,
Hurlstone Park,1268000,652000,3100000,650
Hurstville,1190000,690000,2430000,590
Hurstville Grove,1353000,880000,3000000,650
Illawong,1175000,710000,2635000,700
Ingleburn,590000,310000,2800000,395
Ingleside,,2860000,7100000,
Jamisontown,615000,265000,870000,420
Jannali,900000,430000,1475000,600
Jordan Springs,685000,575000,870000,530
Kangaroo Point,,1800000,5600000,
Kareela,1050000,840000,1750000,740
Kearns,633000,450000,775000,450
Kellyville,1100000,500000,4500000,625
Kellyville Ridge,930000,640000,1340000,600
Kemps Creek,,4000000,4000000,500
Kensington,2710000,1710000,4360000,945
Kenthurst,2073000,695000,4100000,550
Kentlyn,,1150000,1655000,
Killara,2370000,1200000,9800000,1150
Killarney Heights,1660000,1050000,2335000,1000
Kings Langley,875000,623000,1190000,500
Kings Park,705000,415000,905000,450
Kingsford,1940000,950000,7115000,850
Kingsgrove,1101000,545000,2100000,600
Kingswood,538000,345000,1500000,380
Kirkham,,1190000,2410000,
Kirrawee,950000,670000,3000000,645
Kirribilli,,1725000,7900000,1200
Kogarah,1055000,700000,3700000,590
Kogarah Bay,1618000,925000,2900000,700
Ku-Ring-Gai Chase,,,,
Kurmond,,845000,1050000,480
Kurnell,1193000,860000,2000000,685
KURRABA POINT,,2655000,18000000,1280
Kurrajong,850000,620000,1850000,470
Kurrajong Hills,,441000,2080000,
Kyeemagh,,1185000,2865000,670
Kyle Bay,2050000,1270000,3180000,790
La Perouse,,1665000,1900000,
Lakemba,815000,390000,1980000,500
Lalor Park,636000,410000,800000,390
Lane Cove,1920000,850000,4000000,830
Lane Cove North,1720000,915000,3000000,818
Lane Cove West,1691000,1320000,2639000,949
Lansdowne,,,,
Lansvale,665000,503000,900000,515
Laughtondale,,,,
Lavender Bay,,1925000,16988000,1350
Leets Vale,,,,
Leichhardt,1260000,662000,2763000,750
LEN WATERS ESTATE,,,,
Leonay,805000,605000,1385000,500
Leppington,748000,380000,9200000,550
Lethbridge Park,450000,323000,585000,320
Leumeah,560000,330000,1440000,375
Lewisham,1333000,950000,2550000,790
Liberty Grove,,795000,1208000,700
Lidcombe,1010000,415000,1580000,560
Lilli Pilli,1800000,1390000,3500000,925
Lilyfield,1600000,740000,3200000,820
Lindfield,2700000,1260000,5060000,1090
Linley Point,,5000000,5000000,
Little Bay,1700000,1100000,3600000,1050
Liverpool,700000,445000,1225000,440
Llandilo,710000,367000,1400000,550
Loftus,913000,570000,1286000,600
Londonderry,,1000000,1265000,450
Long Point,,,,
Longueville,4018000,2320000,11880000,1350
Lovett Bay,,1116000,2800000,
Lower Portland,,550000,927000,
Lucas Heights,,,,
Luddenham,908000,611000,3300000,600
Lugarno,1150000,699000,3000000,580
Lurnea,610000,380000,1400000,430
Macquarie Fields,548000,325000,1570000,390
Macquarie Links,1033000,645000,1175000,530
Macquarie Park,835000,620000,1100000,580
Maianbar,,750000,1550000,593
Malabar,1885000,1320000,2950000,1200
Manly,2888000,950000,16000000,1400
Manly Vale,1690000,1300000,2410000,928
Maraylya,,540000,551000,
Marayong,619000,270000,970000,400
Maroota,,,,
Maroubra,1800000,400000,5350000,880
Marrickville,1300000,800000,2550000,748
Marsden Park,759000,350000,5200000,550
Marsfield,840000,605000,2200000,520
Mascot,1296000,862000,2800000,725
Matraville,1612000,800000,2800000,850
Mays Hill,,590000,1500000,495
McCarrs Creek,,,,
McGraths Hill,710000,560000,965000,488
McMahons Point,4000000,2375000,8150000,1200
Meadowbank,,,,
Melrose Park,,970000,2400000,600
Menai,930000,630000,1400000,650
Menangle Park,,600000,2950000,
Merrylands,806000,404000,1725000,480
Merrylands West,735000,525000,1650000,510
Middle Cove,1809000,981000,3750000,1100
Middle Dural,,1455000,1455000,
Middleton Grange,770000,435000,1150000,550
Miller,560000,455000,690000,400
Millers Point,,2100000,3680000,1100
Milperra,830000,610000,1150000,570
Milsons Passage,,,,
Milsons Point,,,,
Minchinbury,678000,565000,1030000,460
Minto,585000,345000,2530000,400
Minto Heights,,2500000,2500000,
Miranda,1050000,635000,2530000,650
Mona Vale,1550000,1020000,4500000,950
Monterey,1230000,725000,2600000,650
Moore Park,,,,
Moorebank,830000,490000,1815000,540
Morning Bay,,,,
Mortdale,981000,510000,1726000,550
Mortlake,,1000000,1700000,750
Mosman,3520000,900000,15000000,1575
Mount Annan,730000,398000,1200000,490
Mount Colah,1025000,615000,1591000,623
Mount Druitt,600000,352000,1240000,395
Mount Kuring-Gai,,960000,1250000,
