suburb,current_temp,pressure,humidity
Eagle Vale,24.2,1013,82
Earlwood,24.15,1013,82
East Hills,24.13,1013,82
East Killara,24.29,1012,51
East Kurrajong,24.12,1012,51
East Lindfield,24.29,1012,51
East Ryde,24.29,1012,51
Eastern Creek,24.12,1012,51
Eastgardens,24.29,1012,51
Eastlakes,24.29,1012,51
Eastwood,24.29,1012,51
Ebenezer,24.12,1012,51
Edensor Park,24.12,1013,82
Edgecliff,24.29,1012,51
Edmondson Park,24.12,1013,82
Elanora Heights,24.27,1012,51
Elderslie,24.2,1013,82
Elizabeth Bay,24.29,1012,51
Elizabeth Hills,24.12,1013,82
Ellis Lane,24.25,1013,82
Elvina Bay,24.27,1012,51
Emerton,24.12,1012,51
Emu Heights,24.12,1012,51
Emu Plains,24.12,1012,51
Enfield,24.29,1012,51
Engadine,24.28,1012,51
Englorie Park,24.2,1013,82
Enmore,24.29,1012,51
Epping,24.29,1012,51
Ermington,24.29,1012,51
Erskine Park,24.12,1012,51
Erskineville,24.29,1012,51
Eschol Park,24.2,1013,82
Eveleigh,24.29,1012,51
Fairfield,24.13,1013,82
Fairfield East,24.13,1013,82
Fairfield Heights,24.13,1013,82
Fairfield West,24.13,1013,82
Fairlight,24.29,1012,51
Fiddletown,24.27,1012,51
Five Dock,24.29,1012,51
Flemington,17.37,1016,48
Forest Glen,24.12,1012,51
Forest Lodge,24.29,1012,51
Forestville,24.29,1012,51
Freemans Reach,24.12,1012,51
Frenchs Forest,24.29,1012,51
Freshwater,24.29,1012,51
Galston,24.29,1012,51
Georges Hall,24.13,1013,82
Gilead,24.26,1013,82
Girraween,24.13,1012,51
Gladesville,24.29,1012,51
Glebe,20.38,1012,34
Gledswood Hills,24.2,1013,82
Glen Alpine,24.2,1013,82
Glendenning,24.12,1012,51
Glenfield,24.13,1013,82
Glenhaven,24.13,1012,51
Glenmore Park,24.12,1012,51
Glenorie,24.13,1012,51
Glenwood,24.12,1012,51
Glossodia,24.12,1012,51
Gordon,24.29,1012,51
Granville,24.13,1013,82
Grasmere,24.25,1013,82
Grays Point,24.29,1012,51
Great Mackerel Beach,24.27,1012,51
Green Valley,24.12,1013,82
Greenacre,24.15,1013,82
Greendale,24.2,1012,51
Greenfield Park,24.12,1013,82
Greenhills Beach,24.29,1012,51
Greenwich,24.29,1012,51
Gregory Hills,24.2,1013,82
Greystanes,24.13,1013,82
Grose Vale,24.12,1012,51
Grose Wold,24.12,1012,51
Guildford,17.71,1021,59
Guildford West,24.13,1013,82
Gymea,24.29,1012,51
Gymea Bay,24.29,1012,51
Haberfield,24.29,1012,51
Hammondville,24.13,1013,82
Harrington Park,24.2,1013,82
Harris Park,24.15,1013,82
Hassall Grove,24.12,1012,51
Haymarket,24.15,1013,82
Heathcote,16.8,1014,38
Hebersham,24.12,1012,51
Heckenberg,24.12,1013,82
Henley,24.29,1012,51
Hillsdale,24.29,1012,51
Hinchinbrook,24.12,1013,82
Hobartville,24.12,1012,51
Holroyd,24.13,1013,82
Holsworthy,24.11,1013,82
Homebush,24.29,1012,51
Homebush West,24.29,1012,51
Horningsea Park,24.12,1013,82
Hornsby,24.29,1012,51
Hornsby Heights,24.29,1012,51
Horsley Park,24.12,1012,51
Hoxton Park,24.12,1013,82
Hunters Hill,24.29,1012,51
Huntingwood,24.12,1012,51
Huntleys Cove,24.29,1012,51
Huntleys Point,24.29,1012,51
Hurlstone Park,24.29,1012,51
Hurstville,24.29,1012,51
Hurstville Grove,24.29,1012,51
Illawong,24.29,1012,51
Ingleburn,24.12,1013,82
Ingleside,24.27,1012,51
Jamisontown,24.12,1012,51
Jannali,24.29,1012,51
Jordan Springs,24.1,1012,51
Kangaroo Point,24.29,1012,51
Kareela,24.29,1012,51
Kearns,24.2,1013,82
Kellyville,24.13,1012,51
Kellyville Ridge,24.12,1012,51
Kemps Creek,24.12,1012,51
Kensington,24.29,1012,51
Kenthurst,24.13,1012,51
Kentlyn,24.2,1013,82
Killara,24.29,1012,51
Killarney Heights,24.29,1012,51
Kings Langley,24.13,1012,51
Kings Park,24.12,1012,51
Kingsford,24.15,1013,82
Kingsgrove,24.29,1012,51
Kingswood,24.14,1012,51
Kirkham,24.2,1013,82
Kirrawee,24.29,1012,51
Kirribilli,24.15,1013,82
Kogarah,24.13,1013,82
Kogarah Bay,24.29,1012,51
Ku-ring-gai Chase,24.27,1012,51
Kurmond,24.12,1012,51
Kurnell,24.29,1012,51
Kurraba Point,24.29,1012,51
Kurrajong,24.12,1012,51
Kurrajong Hills,24.15,1012,51
Kyeemagh,24.29,1012,51
Kyle Bay,24.29,1012,51
La Perouse,24.29,1012,51
Lakemba,24.29,1012,51
Lalor Park,24.13,1012,51
Lane Cove,24.29,1012,51
Lane Cove North,24.29,1012,51
Lane Cove West,24.29,1012,51
Lansdowne,24.13,1013,82
Lansvale,24.13,1013,82
Laughtondale,24.15,1012,51
Lavender Bay,24.29,1012,51
Leets Vale,24.42,1012,51
Leichhardt,24.29,1012,51
Leonay,24.12,1012,51
Leppington,24.12,1013,82
Lethbridge Park,24.12,1012,51
Leumeah,24.2,1013,82
Lewisham,24.29,1012,51
Liberty Grove,24.29,1012,51
Lidcombe,24.29,1012,51
Lilli Pilli,24.29,1012,51
Lilyfield,24.29,1012,51
Lindfield,24.29,1012,51
Linley Point,24.29,1012,51
Liverpool,24.13,1013,82
Llandilo,24.12,1012,51
Loftus,24.29,1012,51
Londonderry,24.12,1012,51
Long Point,24.13,1013,82
Longueville,24.29,1012,51
Lovett Bay,24.27,1012,51
Lower Portland,24.43,1012,51
Lucas Heights,24.28,1012,51
Luddenham,24.2,1012,51
Lugarno,24.29,1012,51
Lurnea,24.12,1013,82
Macquarie Fields,24.12,1013,82
Macquarie Links,24.1,1013,82
Macquarie Park,24.29,1012,51
Maianbar,24.27,1012,51
Malabar,24.27,1012,51
Manly,24.15,1013,82
Manly Vale,24.27,1012,51
Maraylya,24.1,1012,51
Marayong,24.1,1012,51
Maroota,24.36,1012,51
Maroubra,24.27,1012,51
Marrickville,24.27,1012,51
Marsden Park,24.1,1012,51
Marsfield,24.27,1012,51
Mascot,24.29,1012,51
Matraville,24.27,1012,51
Mays Hill,24.11,1013,82
McCarrs Creek,24.27,1012,51
McGraths Hill,24.1,1012,51
McMahons Point,24.27,1012,51
Meadowbank,24.29,1012,51
Melrose Park,24.27,1012,51
Menai,24.15,1013,82
Menangle Park,24.23,1013,82
Merrylands,24.13,1013,82
Merrylands West,24.11,1013,82
Middle Cove,24.29,1012,51
Middle Dural,24.11,1012,51
Middleton Grange,24.1,1013,82
Miller,24.1,1013,82
Millers Point,24.29,1012,51
Milperra,24.11,1013,82
Milsons Passage,24.1,1012,51
Milsons Point,24.27,1012,51
Minchinbury,24.1,1012,51
Minto,24.18,1013,82
Minto Heights,24.18,1013,82
Miranda,23.97,1013,82
Mona Vale,24.25,1012,51
Monterey,24.27,1012,51
Moore Park,24.27,1012,51
Moorebank,24.13,1013,82
Morning Bay,24.25,1012,51
Mortdale,24.26,1012,51
Mortlake,15.55,1015,67
Mosman,24.27,1012,51
Mount Annan,24.18,1013,82
Mount Colah,24.27,1012,51
Mount Druitt,24.12,1012,51
Mount Kuring-Gai,24.27,1012,51
Mount Lewis,24.26,1012,51
Mount Pritchard,24.1,1013,82
Mount Vernon,24.1,1012,51
Mulgoa,24.17,1012,51
Mulgrave,24.1,1012,51
Narellan Vale,24.18,1013,82
Naremburn,24.27,1012,51
Narrabeen,24.25,1012,51
Narraweena,24.27,1012,51
Narwee,24.26,1012,51
Nelson,24.1,1012,51
Neutral Bay,24.27,1012,51
Newington,17.07,1017,43
Newport,24.25,1012,51
Newtown,28.92,1018,39
Normanhurst,24.27,1012,51
North Balgowlah,24.27,1012,51
North Bondi,24.27,1012,51
North Curl Curl,24.29,1012,51
North Epping,24.27,1012,51
North Kellyville,24.15,1012,51
North Manly,24.27,1012,51
North Narrabeen,24.25,1012,51
North Parramatta,24.11,1013,82
North Richmond,24.1,1012,51
North Rocks,24.11,1013,82
North Ryde,24.27,1012,51
North St Marys,24.1,1012,51
North Strathfield,24.27,1012,51
North Sydney,24.15,1013,82
North Turramurra,24.27,1012,51
North Wahroonga,24.27,1012,51
North Willoughby,24.29,1012,51
Northbridge,17.72,1021,59
Northmead,24.11,1013,82
Northwood,24.27,1012,51
Norwest,24.11,1012,51
Oakhurst,24.1,1012,51
Oakville,24.1,1012,51
Oatlands,20.32,1012,34
Oatley,24.26,1012,51
Old Guildford,24.11,1013,82
Old Toongabbie,24.11,1013,82
Oran Park,24.18,1013,82
Orchard Hills,24.1,1012,51
Oxford Falls,24.27,1012,51
Oxley Park,24.1,1012,51
Oyster Bay,24.26,1012,51
Paddington,24.29,1012,51
Padstow,24.26,1012,51
Padstow Heights,24.26,1012,51
Pagewood,24.27,1012,51
Palm Beach,24.25,1012,51
Panania,24.26,1012,51
Parklea,24.1,1012,51
Parramatta,24.13,1013,82
Peakhurst,24.26,1012,51
Peakhurst Heights,24.26,1012,51
Pemulwuy,24.1,1013,82
Pendle Hill,24.11,1013,82
Pennant Hills,24.26,1012,51
Penrith,24.1,1012,51
Penshurst,24.27,1012,51
Petersham,24.27,1012,51
Phillip Bay,24.27,1012,51
Picnic Point,24.26,1012,51
Pitt Town,24.1,1012,51
Pitt Town Bottoms,24.1,1012,51
Pleasure Point,24.26,1012,51
Plumpton,24.1,1012,51
Point Piper,24.27,1012,51
Port Botany,24.27,1012,51
Port Hacking,24.29,1012,51
Potts Hill,24.26,1012,51
Potts Point,24.27,1012,51
Prairiewood,24.1,1013,82
Prestons,24.1,1013,82
Prospect,24.1,1012,51
Punchbowl,24.26,1012,51
Putney,24.27,1012,51
Pymble,24.27,1012,51
Pyrmont,24.15,1013,82
Quakers Hill,24.1,1012,51
Queens Park,24.27,1012,51
Queenscliff,24.27,1012,51
Raby,24.18,1013,82
Ramsgate,24.27,1012,51
Ramsgate Beach,24.27,1012,51
Randwick,24.29,1012,51
Redfern,24.27,1012,51
Regents Park,24.26,1012,51
Regentville,24.1,1012,51
Revesby,24.26,1012,51
Revesby Heights,24.26,1012,51
Rhodes,24.27,1012,51
Richmond,24.1,1012,51
Riverstone,24.1,1012,51
Riverview,24.27,1012,51
Riverwood,24.26,1012,51
Rockdale,24.27,1012,51
Rodd Point,24.27,1012,51
Rooty Hill,24.1,1012,51
Ropes Crossing,24.1,1012,51
Rose Bay,24.27,1012,51
Rosebery,13.95,1013,46
Rosehill,24.11,1013,82
Roselands,24.13,1013,82
Rosemeadow,24.2,1013,82
Roseville,24.13,1013,82
Roseville Chase,24.13,1013,82
Rossmore,24.2,1013,82
Rouse Hill,24.12,1012,51
Rozelle,24.13,1013,82
Ruse,24.2,1013,82
Rushcutters Bay,24.29,1012,51
Russell Lea,24.13,1013,82
Rydalmere,24.13,1013,82
Ryde,24.13,1013,82
Sackville,24.12,1012,51
Sackville North,24.12,1012,51
Sadleir,24.12,1013,82
Sandringham,24.13,1013,82
Sandy Point,24.13,1013,82
Sans Souci,24.13,1013,82
Scheyville,24.12,1012,51
Schofields,24.12,1012,51
Scotland Island,24.27,1012,51
Seaforth,28.46,1015,58
Sefton,24.13,1013,82
