id,suburb,fuel_code,Aug_2016,Sep_2016,Oct_2016,Nov_2016,Dec_2016,Jan_2017,Feb_2017,Mar_2017,Apr_2017,May_2017,Jun_2017,Jul_2017,Aug_2017,Sep_2017,Oct_2017,Nov_2017,Dec_2017,Jan_2018,Feb_2018,Mar_2018,Apr_2018,May_2018,Jun_2018,Jul_2018,Aug_2018,Sep_2018,Oct_2018,Nov_2018,Dec_2018,Jan_2019,Feb_2019,Mar_2019,Apr_2019,May_2019,Jun_2019,Jul_2019,Aug_2019,Sep_2019,Oct_2019
10416,Middle Cove,PDL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10417,Middle Dural,PDL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10418,Middleton Grange,PDL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10419,Miller,PDL,114.23333333333332,114.85,124.48000000000002,124.7,131.06666666666666,0.0,128.39999999999998,129.89999999999998,129.35999999999999,128.3,127.375,125.15454545454546,128.3526315789474,128.60000000000005,131.55,135.9,134.4,137.54285714285717,140.55,140.56666666666666,145.10000000000002,150.44,152.2,150.25,149.26666666666668,158.025,166.23333333333335,154.54444444444445,142.37142857142857,138.39999999999998,144.9,148.9,150.9,151.4,145.65,146.4,145.9,150.3,152.9
10420,Millers Point,PDL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10421,Milperra,PDL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.9,0.0,138.4,137.9,138.9,144.06666666666666,152.3,0.0,153.9,155.9,159.65,164.9,158.75714285714284,146.4,138.9,142.9,146.9,149.9,151.9,150.9,0.0,148.9,0.0,150.9
10422,Milsons Passage,PDL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10423,Milsons Point,PDL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10424,Minchinbury,PDL,113.9,110.23333333333333,118.9,0.0,126.64999999999999,0.0,127.9,126.9,0.0,0.0,125.4,123.90000000000005,124.59230769230761,124.9,127.5,128.9,134.9,136.4,135.9,0.0,141.50000000000003,149.0666666666667,0.0,149.9,0.0,155.4,160.9,148.97333333333336,139.93750000000003,138.9,146.625,147.9,150.23333333333335,150.15,148.9,146.9,144.23333333333335,146.54285714285717,0.0
10425,Minto,PDL,112.23333333333335,123.2636363636363,113.92222222222222,112.125,120.55,124.36666666666667,123.03333333333335,0.0,120.45000000000003,114.55000000000003,121.21428571428571,119.74000000000005,120.28333333333322,126.88260869565218,126.84285714285714,127.01538461538463,134.5666666666667,136.5666666666667,128.9,133.53333333333333,139.65000000000003,147.45555555555558,146.9,152.4,155.45,146.46428571428564,149.76206896551727,146.27826086956526,132.86296296296277,126.02820512820512,133.71250000000003,138.70555555555555,142.93125,143.60000000000005,139.1833333333333,137.53076923076918,136.01200000000006,137.51739130434788,140.82380952380953
