id,suburb,fuel_code,Aug_2016,Sep_2016,Oct_2016,Nov_2016,Dec_2016,Jan_2017,Feb_2017,Mar_2017,Apr_2017,May_2017,Jun_2017,Jul_2017,Aug_2017,Sep_2017,Oct_2017,Nov_2017,Dec_2017,Jan_2018,Feb_2018,Mar_2018,Apr_2018,May_2018,Jun_2018,Jul_2018,Aug_2018,Sep_2018,Oct_2018,Nov_2018,Dec_2018,Jan_2019,Feb_2019,Mar_2019,Apr_2019,May_2019,Jun_2019,Jul_2019,Aug_2019,Sep_2019,Oct_2019
10647,Wentworthville,DL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10648,Werrington,DL,111.4,110.9,118.64999999999999,0.0,127.56666666666668,0.0,126.9,126.4,126.90000000000002,0.0,125.23333333333335,123.90000000000002,123.90000000000006,124.4,125.35000000000001,127.7,133.5,136.9,0.0,0.0,141.3,148.65,0.0,150.4,144.0,153.41666666666666,158.4,151.78888888888892,139.92692307692312,135.4,139.23333333333335,147.9,146.9,147.9,142.10000000000002,140.9,141.5666666666667,143.9,0.0
10649,Werrington County,DL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10650,Werrington Downs,DL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10651,West Hoxton,DL,113.4,0.0,118.9,0.0,0.0,125.9,0.0,0.0,0.0,0.0,0.0,118.9,119.9,0.0,0.0,127.9,132.9,133.9,0.0,0.0,140.4,148.4,0.0,145.9,0.0,151.23333333333335,158.9,153.23333333333335,136.9,136.4,142.9,0.0,0.0,0.0,143.4,0.0,142.9,0.0,147.9
10652,West Killara,DL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10653,West Lindfield,DL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10654,West Pennant Hills,DL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10655,West Pymble,DL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10656,West Ryde,DL,110.9,113.15,117.11428571428574,115.1222222222222,118.89999999999999,119.1,118.06666666666666,122.9,123.5,124.1,117.9,128.97692307692313,122.95925925925931,116.56666666666668,124.89999999999999,128.70000000000002,129.9,135.23333333333335,131.9,145.9,138.12222222222223,147.33750000000003,146.9,143.65,140.9,147.7888888888889,159.18571428571434,148.9714285714286,143.00000000000003,136.50000000000003,138.51428571428576,148.275,148.9,148.9,142.23333333333335,149.9,142.15,137.71818181818188,144.9
