id,suburb,fuel_code,Aug_2016,Sep_2016,Oct_2016,Nov_2016,Dec_2016,Jan_2017,Feb_2017,Mar_2017,Apr_2017,May_2017,Jun_2017,Jul_2017,Aug_2017,Sep_2017,Oct_2017,Nov_2017,Dec_2017,Jan_2018,Feb_2018,Mar_2018,Apr_2018,May_2018,Jun_2018,Jul_2018,Aug_2018,Sep_2018,Oct_2018,Nov_2018,Dec_2018,Jan_2019,Feb_2019,Mar_2019,Apr_2019,May_2019,Jun_2019,Jul_2019,Aug_2019,Sep_2019,Oct_2019
10000,Abbotsbury,P98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10001,Abbotsford,P98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10002,Acacia Gardens,P98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10003,Agnes Banks,P98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10004,Airds,P98,128.3,133.5666666666667,134.20769230769235,133.9,136.9,152.9,0.0,137.65,137.18571428571428,135.3,130.23333333333338,131.65,133.32857142857142,134.74000000000004,140.34444444444446,143.44,144.29999999999998,144.52000000000004,144.9857142857143,143.70000000000002,148.7,156.55714285714288,158.55714285714288,154.70000000000002,155.1166666666667,160.73333333333332,160.27142857142857,139.8578947368421,127.2,126.69999999999999,136.7,141.2,0.0,155.03333333333333,144.45,142.94,149.03333333333333,151.76666666666668,154.03333333333333
10005,Alexandria,P98,134.24791666666658,137.75569620253145,138.87857142857135,138.46216216216212,146.7137931034483,153.38378378378377,151.27878787878788,142.20270270270265,147.075,147.14999999999992,143.5392156862744,143.6999999999999,146.5873239436618,151.747222222222,153.56666666666666,157.1888888888889,160.99375000000003,158.4625,160.63000000000002,155.259375,166.4789473684211,169.78666666666666,170.9447368421052,164.00975609756088,171.17586206896553,179.38235294117652,183.28444444444435,160.4319999999999,155.91764705882346,148.56666666666672,147.90000000000003,159.04285714285714,165.15,173.55000000000004,164.2846153846154,168.0428571428572,167.8333333333334,166.9526315789474,177.56666666666658
10006,Alfords Point,P98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10007,Allambie Heights,P98,132.9,140.23333333333335,141.23333333333338,142.35454545454547,146.4,154.6142857142857,156.23333333333335,144.73333333333338,153.9,149.73333333333332,146.53636363636366,146.15,146.03333333333336,152.70000000000002,158.90000000000003,159.9,162.7888888888889,164.06666666666666,162.01111111111112,0.0,0.0,0.0,174.80000000000004,171.17272727272731,177.1857142857143,182.9,188.0666666666667,165.3117647058824,155.80909090909094,154.06666666666666,152.4,0.0,174.23333333333335,177.1,171.9,161.9,167.9,179.9,179.1857142857143
10008,Allawah,P98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10009,Ambarvale,P98,131.89999999999998,135.33939393939397,137.2395348837209,135.43500000000003,149.10370370370376,148.95294117647063,145.03809523809528,140.57647058823534,147.225,143.18695652173915,136.12727272727273,134.73809523809524,136.0666666666666,150.40606060606058,150.1615384615385,160.24285714285716,157.1904761904761,152.11290322580646,158.9882352941177,157.91923076923084,168.82307692307694,171.53888888888892,170.53461538461545,161.43095238095233,166.80465116279058,172.72352941176476,181.33750000000006,157.9370370370369,154.0481481481482,137.91875000000005,157.23333333333335,165.23333333333332,178.9,170.7,172.9,165.4,171.7,166.9,179.15
